Fenes;Elec;Aete;Tubu;Crisi;Lich;Chli;Walk;Plan;Elph;Serp;Syll;Plum;Sert;Camp;Hydro;Litho;Calli;Rhodo;Cera;Spyr;Clado;Dict;Spha;Chor;Ecto
0,331461538;1,284615385;0;0;0,001692308;0;0;0;0,034384615;0,013846154;0;0;0;0;0,003846154;6,141230769;0;0;0,018;0,033692308;0;0;0;0,578769231;0;0
0;4,361313869;0,005474453;0,040510949;0,002445255;0;0;0;0,007810219;0;0,293065693;0;0;0;0,056751825;13,55839416;0;0;0,005474453;0,013138686;0;0,005474453;0;1,701459854;0;0
0,202380952;0,136904762;0,000714286;0;0,001428571;0;0;0;0,074166667;0,028571429;0,077380952;0;0,000833333;0,369047619;0,135119048;10,32142857;0,000714286;0;0,095357143;0,013928571;0;0,004404762;0;3,040238095;0,041666667;0
0,346153846;0,48;0,007384615;0;0,003538462;0;0;0;0,116923077;0,036923077;0,027692308;0;0;0;0;9,984615385;0;0,000923077;0,037846154;0,026307692;0;0;0;2,151538462;0,018461538;0
0,079404762;0,321428571;0,010595238;0;0,007321429;0;0;0;0,417738095;0,102678571;0,037202381;0;0;0;0;21,90416667;0;0;0,123095238;0,038869048;0;0;0;2,76077381;0;0
0,334319527;6,445266272;0;0;0,004733728;0;0;0;0,052840237;0;0,068047337;0;0;0,170118343;0;12,68491124;0;0,000887574;0,121301775;0,040384615;0;0;0;1,434142012;0;0
0,159744409;0,209265176;0;0;0,001597444;0;0;0;0,343801917;0,031948882;0,160063898;0;0;0,063897764;0,130511182;29,24920128;0,000958466;0;0,062779553;0,037220447;0;0,001916933;0;2,703354633;0;0
0;0,121912351;0,001195219;0;0,003984064;0;0;0;0,076912351;0;0,081673307;0;0;0;0;19,86055777;0;0;0,066334661;0,046613546;0;0,029880478;0;2,397808765;0;0
0;0,373900293;0,014956012;0;0,005601173;0;0;0;0,064486804;0,035190616;0,044237537;0;0;0,021994135;0,390909091;22,69941349;0,000879765;0,000879765;0,019208211;0,010997067;0;0;0;2,063196481;0;0
0,648148148;0,648148148;0,025925926;0;0,003333333;0;0;0,016666667;0,332407407;0,112962963;0,222222222;0;0;0,051851852;0,253703704;21;0;0,022222222;0,042962963;0,029444444;0;0,011111111;0;1,38962963;0;0
0,180505415;0;0,097472924;0;0,027111913;0;0;0;0,21732852;0,045126354;0,320577617;0;0;0,23898917;0,012364621;36,34277978;0;0;0,022563177;0,027075812;0;0;0;3,175090253;0;0
0,396825397;4,561507937;0,005952381;0;0,005952381;0;0;0;0,19015873;0,083333333;0,091666667;0;0;0,061904762;0,207301587;29,94047619;0;0,003571429;0,007142857;0,05952381;0;0,148809524;0;2,453888889;0;0
0;0;0;0,013157895;0,054385965;0;0;0;0,7;0,157894737;0,739473684;0;0;0,013157895;0,103070175;44,59320175;0;0;0,063114035;0,061842105;0;0,065789474;0;4,473903509;0;0
0;1,608143322;0,000977199;0;0,009674267;0;0;0;0,213355049;0,01742671;0,24771987;0;0;0,001954397;0,218566775;16,58469055;0;0,000977199;0,053045603;0,018078176;0;0,006840391;0;1,851628664;0;0
